record,Service Request No,original_address_field,st_num_x,st_dir_x,st_name,Location,Created Date,Status Date,Status,Vehicle Make/Model,License Plate Number,Pound assigned inventory number,City X Coordinate,City Y Coordinate,Vehicle Body Style,impound_date,date,X Coordinate,Y Coordinate,iss_dt_tim,st_num_y,st_dir_y,st_nm,st_name_edit,address,lcns_plt_s,viol_cd,viol_desc,rpt_dstrct,vhcl_make,fine_lvl,tckt_que,year,on_route,datetime,penalty
1472,16-08171812,6737 N CLARK ST,6737,N,CLARK ST,6737 N CLARK ST,12/5/2016 0:00,12/15/2016 0:00,Completed,Buick,R676203,6866202,1163775.723,1944917.14,Sedan 4 Door,12/2/2016,12/2/2016,-87.67281276,42.00448586,12/2/2016 5:15,6735,N,CLARK,CLARK ST,6735 N CLARK,IL,964060,3-7 AM SNOW ROUTE,24,BUIC,60,Paid,2016,TRUE,12/2/2016 5:15,TICKET AND TOW
1473,16-08183160,3350 W MADISON ST,3350,W,MADISON ST,3350 W MADISON ST,12/6/2016 0:00,12/15/2016 0:00,Completed,Ford,Q139724,6866244,1154402.559,1899825.169,Sedan 4 Door,12/3/2016,12/3/2016,-87.70850622,41.88094349,12/3/2016 3:07,3332,W,MADISON,MADISON ST,3332 W MADISON,IL,964060,3-7 AM SNOW ROUTE,11,FORD,60,Paid,2016,TRUE,12/3/2016 3:07,TICKET AND TOW
1474,16-08183251,3310 W MADISON ST,3310,W,MADISON ST,3310 W MADISON ST,12/6/2016 0:00,12/22/2016 0:00,Completed,Cadillac,653S167,6866246,1154333.859,1899823.669,Sedan 4 Door,12/3/2016,12/3/2016,-87.70875852,41.88094075,12/3/2016 3:10,3309,W,MADISON,MADISON ST,3309 W MADISON,IL,964060,3-7 AM SNOW ROUTE,11,CADI,60,Notice,2016,TRUE,12/3/2016 3:10,TICKET AND TOW
1475,16-08183254,3150 W MADISON ST,3150,W,MADISON ST,3150 W MADISON ST,12/6/2016 0:00,12/15/2016 0:00,Completed,Mazda,Z162260,6866249,1155721.903,1899855.751,Sedan 4 Door,12/3/2016,12/3/2016,-87.70366083,41.88100095,12/3/2016 3:20,3147,W,MADISON,MADISON ST,3147 W MADISON,IL,964060,3-7 AM SNOW ROUTE,11,MAZD,60,Notice,2016,TRUE,12/3/2016 3:20,TICKET AND TOW
1476,16-08183256,3150 W MADISON ST,3150,W,MADISON ST,3150 W MADISON ST,12/6/2016 0:00,12/15/2016 0:00,Completed,Infiniti/Q45,131T508,6866250,1155721.903,1899855.751,Sedan 4 Door,12/3/2016,12/3/2016,-87.70366083,41.88100095,12/3/2016 3:16,3149,W,MADISON,MADISON ST,3149 W MADISON,IL,964060,3-7 AM SNOW ROUTE,11,INFI,60,Notice,2016,TRUE,12/3/2016 3:16,TICKET AND TOW
1477,16-08183265,2432 W MADISON ST,2432,W,MADISON ST,2432 W MADISON ST,12/6/2016 0:00,12/6/2016 0:00,Work In Progress,Chrysler,046NGH,6866258,1160230.553,1899944.635,Sedan 2 Door,12/3/2016,12/3/2016,-87.68710289,41.88115289,12/3/2016 3:25,2432,W,MADISON,MADISON ST,2432 W MADISON,MN,964060,3-7 AM SNOW ROUTE,495,CHRY,60,Define,2016,TRUE,12/3/2016 3:25,TICKET AND TOW
1478,16-08183108,2413 W MADISON ST,2413,W,MADISON ST,2413 W MADISON ST,12/6/2016 0:00,12/15/2016 0:00,Completed,Honda,Q401149,6866262,1160339.153,1899947.335,Sedan 4 Door,12/3/2016,12/3/2016,-87.68670404,41.88115806,12/3/2016 3:30,2413,W,MADISON,MADISON ST,2413 W MADISON,IL,964060,3-7 AM SNOW ROUTE,495,HOND,60,Define,2016,TRUE,12/3/2016 3:30,TICKET AND TOW
1479,16-08183111,2417 W MADISON ST,2417,W,MADISON ST,2417 W MADISON ST,12/6/2016 0:00,12/15/2016 0:00,Completed,Volvo,472ERP,6866265,1160316.253,1899946.835,Sedan 4 Door,12/3/2016,12/3/2016,-87.68678814,41.88115716,12/3/2016 3:39,2477,W,MADISON,MADISON ST,2477 W MADISON,MN,964060,3-7 AM SNOW ROUTE,495,VOLV,60,Paid,2016,TRUE,12/3/2016 3:39,TICKET AND TOW
1480,16-08183120,1209 N MILWAUKEE AVE,1209,N,MILWAUKEE AVE,1209 N MILWAUKEE AVE,12/6/2016 0:00,12/15/2016 0:00,Completed,Acura,S796033,6866271,1165701.786,1908147.262,Sedan 4 Door,12/3/2016,12/3/2016,-87.6667789,41.9035467,12/3/2016 3:47,1209,N,MILWAUKEE,MILWAUKEE AVE,1209 N MILWAUKEE,IL,964060,3-7 AM SNOW ROUTE,495,ACUR,60,Notice,2016,TRUE,12/3/2016 3:47,TICKET AND TOW
1481,16-08183123,1365 N MILWAUKEE AVE,1365,N,MILWAUKEE AVE,1365 N MILWAUKEE AVE,12/6/2016 0:00,12/15/2016 0:00,Completed,Toyota,6739008,6866272,1164380.993,1909259.833,Sedan 4 Door,12/3/2016,12/3/2016,-87.67159893,41.90662773,12/3/2016 3:48,1365,N,MILWAUKEE,MILWAUKEE AVE,1365 N MILWAUKEE,IL,964060,3-7 AM SNOW ROUTE,495,TOYT,60,Paid,2016,TRUE,12/3/2016 3:48,TICKET AND TOW
1482,16-08183125,6402 N CLARK ST,6402,N,CLARK ST,6402 N CLARK ST,12/6/2016 0:00,12/15/2016 0:00,Completed,Chevrolet,E608715,6866273,1164392.577,1942603.897,Carryall,12/3/2016,12/3/2016,-87.67060922,41.99812518,12/3/2016 3:30,6908,N,CLARK,CLARK ST,6908 N CLARK,IL,964060,3-7 AM SNOW ROUTE,24,CHEV,60,Notice,2016,TRUE,12/3/2016 3:30,TICKET AND TOW
1483,16-08183125,6402 N CLARK ST,6402,N,CLARK ST,6402 N CLARK ST,12/6/2016 0:00,12/15/2016 0:00,Completed,Chevrolet,E608715,6866273,1164392.577,1942603.897,Carryall,12/3/2016,12/3/2016,-87.67060922,41.99812518,12/3/2016 3:02,6902,N,CLARK,CLARK ST,6902 N CLARK,IL,964060,3-7 AM SNOW ROUTE,495,CHEV,60,Notice,2016,TRUE,12/3/2016 3:02,TICKET AND TOW
1484,16-08184335,6902 N CLARK ST,6902,N,CLARK ST,6902 N CLARK ST,12/6/2016 0:00,12/15/2016 0:00,Completed,Nissan,S129163,6866274,1163607.47,1945692.926,Carryall,12/3/2016,12/3/2016,-87.67340977,42.00661819,12/3/2016 3:29,6904,N,CLARK,CLARK ST,6904 N CLARK,IL,964060,3-7 AM SNOW ROUTE,24,NISS,60,Paid,2016,TRUE,12/3/2016 3:29,TICKET AND TOW
1485,16-08183129,2901 W MADISON ST,2901,W,MADISON ST,2901 W MADISON ST,12/6/2016 0:00,12/15/2016 0:00,Completed,Honda,7563476,6866278,1157058.386,1899884.054,Carryall,12/3/2016,12/3/2016,-87.69875257,41.88105161,12/3/2016 3:48,2901,W,MADISON,MADISON ST,2901 W MADISON,IL,964060,3-7 AM SNOW ROUTE,495,HOND,60,Paid,2016,TRUE,12/3/2016 3:48,TICKET AND TOW
1486,16-08183130,2200 W MADISON ST,2200,W,MADISON ST,2200 W MADISON ST,12/6/2016 0:00,12/15/2016 0:00,Completed,Honda,X326535,6866279,1161748.498,1899988.315,Sedan 4 Door,12/3/2016,12/3/2016,-87.68152787,41.88124125,12/3/2016 3:54,2200,W,MADISON,MADISON ST,2200 W MADISON,IL,964060,3-7 AM SNOW ROUTE,495,HOND,60,Paid,2016,TRUE,12/3/2016 3:54,TICKET AND TOW
1487,16-08183131,7000 N CLARK ST,7000,N,CLARK ST,7000 N CLARK ST,12/6/2016 0:00,12/15/2016 0:00,Completed,Lexus,BTX6982,6866280,1163450.429,1946557.403,Sedan 4 Door,12/3/2016,12/3/2016,-87.67396305,42.00899366,12/3/2016 3:35,7203,N,CLARK,CLARK ST,7203 N CLARK,MI,964060,3-7 AM SNOW ROUTE,24,LEXU,60,Paid,2016,TRUE,12/3/2016 3:35,TICKET AND TOW
1488,16-08183133,2144 W MADISON ST,2144,W,MADISON ST,2144 W MADISON ST,12/6/2016 0:00,12/15/2016 0:00,Completed,Volkswagen,60232M,6866282,1162117.903,1899998.853,Van,12/3/2016,12/3/2016,-87.68017114,41.88126246,12/3/2016 3:52,2145,W,MADISON,MADISON ST,2145 W MADISON,WI,964060,3-7 AM SNOW ROUTE,495,VOLK,60,Notice,2016,TRUE,12/3/2016 3:52,TICKET AND TOW
1489,16-08183163,6952 N CLARK ST,6952,N,CLARK ST,6952 N CLARK ST,12/6/2016 0:00,12/15/2016 0:00,Completed,Honda,Q355431,6866285,1163516.965,1946191.973,Carryall,12/3/2016,12/3/2016,-87.6737286,42.0079895,12/3/2016 3:34,6954,N,CLARK,CLARK ST,6954 N CLARK,IL,964060,3-7 AM SNOW ROUTE,24,HOND,60,Notice,2016,TRUE,12/3/2016 3:34,TICKET AND TOW
1490,16-08183165,1900 W MADISON ST,1900,W,MADISON ST,1900 W MADISON ST,12/6/2016 0:00,1/9/2017 0:00,Completed,Pontiac,Z270139,6866287,1163736.827,1900043.907,Sedan 4 Door,12/3/2016,12/3/2016,-87.67422527,41.88135213,12/3/2016 4:02,1900,W,MADISON,MADISON ST,1900 W MADISON,IL,964060,3-7 AM SNOW ROUTE,495,PONT,60,Notice,2016,TRUE,12/3/2016 4:02,TICKET AND TOW
1491,16-08183169,6827 N CLARK ST,6827,N,CLARK ST,6827 N CLARK ST,12/6/2016 0:00,12/15/2016 0:00,Completed,Honda,Z836558,6866289,1163672.53,1945346.756,Van,12/3/2016,12/3/2016,-87.67318022,42.00566692,12/3/2016 3:40,7030,N,CLARK,CLARK ST,7030 N CLARK,IL,964060,3-7 AM SNOW ROUTE,24,HOND,60,Notice,2016,TRUE,12/3/2016 3:40,TICKET AND TOW
1492,16-08183169,6827 N CLARK ST,6827,N,CLARK ST,6827 N CLARK ST,12/6/2016 0:00,12/15/2016 0:00,Completed,Honda,Z836558,6866289,1163672.53,1945346.756,Van,12/3/2016,12/3/2016,-87.67318022,42.00566692,12/3/2016 3:06,6828,N,CLARK,CLARK ST,6828 N CLARK,IL,964060,3-7 AM SNOW ROUTE,495,HOND,60,Notice,2016,TRUE,12/3/2016 3:06,TICKET AND TOW
1493,16-08183170,7034 N CLARK ST,7034,N,CLARK ST,7034 N CLARK ST,12/6/2016 0:00,12/15/2016 0:00,Completed,Toyota,ZX14715,6866290,1163386.45,1946921.246,Sedan 4 Door,12/3/2016,12/3/2016,-87.67418813,42.0099934,12/3/2016 3:45,7036,N,CLARK,CLARK ST,7036 N CLARK,IL,964060,3-7 AM SNOW ROUTE,24,TOYT,60,Notice,2016,TRUE,12/3/2016 3:45,TICKET AND TOW
1494,16-08183178,1960 N MILWAUKEE AVE,1960,N,MILWAUKEE AVE,1960 N MILWAUKEE AVE,12/6/2016 0:00,12/15/2016 0:00,Completed,Dodge,R892616,6866296,1159972.199,1913004.229,Sedan 4 Door,12/3/2016,12/3/2016,-87.68769066,41.91699483,12/3/2016 4:08,1960,N,MILWAUKEE,MILWAUKEE AVE,1960 N MILWAUKEE,IL,964060,3-7 AM SNOW ROUTE,495,DODG,60,Paid,2016,TRUE,12/3/2016 4:08,TICKET AND TOW
1495,16-08183184,1900 W MADISON ST,1900,W,MADISON ST,1900 W MADISON ST,12/6/2016 0:00,12/15/2016 0:00,Completed,Saturn,Q259526,6866301,1163736.827,1900043.907,Sedan 4 Door,12/3/2016,12/3/2016,-87.67422527,41.88135213,12/3/2016 4:09,1900,W,MADISON,MADISON ST,1900 W MADISON,IL,964060,3-7 AM SNOW ROUTE,495,SATR,60,Notice,2016,TRUE,12/3/2016 4:09,TICKET AND TOW
1496,16-08184411,2256 N MILWAUKEE AVE,2256,N,MILWAUKEE AVE,2256 N MILWAUKEE AVE,12/6/2016 0:00,12/15/2016 0:00,Completed,Chevrolet,V948964,6866302,1157749.801,1914794.191,Sedan 4 Door,12/3/2016,12/3/2016,-87.69580687,41.92195224,12/3/2016 3:19,2252,N,MILWAUKEE,MILWAUKEE AVE,2252 N MILWAUKEE,IL,964060,3-7 AM SNOW ROUTE,14,CHEV,60,Notice,2016,TRUE,12/3/2016 3:19,TICKET AND TOW
1497,16-08183187,2252 N MILWAUKEE AVE,2252,N,MILWAUKEE AVE,2252 N MILWAUKEE AVE,12/6/2016 0:00,12/15/2016 0:00,Completed,Mercury,N493534,6866305,1157817.412,1914740.274,Van,12/3/2016,12/3/2016,-87.69555992,41.92180291,12/3/2016 3:15,2252,N,MILWAUKEE,MILWAUKEE AVE,2252 N MILWAUKEE,IL,964060,3-7 AM SNOW ROUTE,14,MERC,60,Paid,2016,TRUE,12/3/2016 3:15,TICKET AND TOW
1498,16-08183188,2419 N MILWAUKEE AVE,2419,N,MILWAUKEE AVE,2419 N MILWAUKEE AVE,12/6/2016 0:00,12/15/2016 0:00,Completed,Chevrolet,A134166,6866306,1156317.823,1915954.554,Sedan 4 Door,12/3/2016,12/3/2016,-87.70103694,41.92516546,12/3/2016 3:25,2421,N,MILWAUKEE,MILWAUKEE AVE,2421 N MILWAUKEE,IL,964060,3-7 AM SNOW ROUTE,14,CHEV,60,Paid,2016,TRUE,12/3/2016 3:25,TICKET AND TOW
1499,16-08183189,2253 N MILWAUKEE AVE,2253,N,MILWAUKEE AVE,2253 N MILWAUKEE AVE,12/6/2016 0:00,12/15/2016 0:00,Completed,Honda,P894730,6866307,1157809.112,1914746.874,Sedan 4 Door,12/3/2016,12/3/2016,-87.69559024,41.92182119,12/3/2016 3:20,2242,N,MILWAUKEE,MILWAUKEE AVE,2242 N MILWAUKEE,IL,964060,3-7 AM SNOW ROUTE,14,HOND,60,Paid,2016,TRUE,12/3/2016 3:20,TICKET AND TOW
1500,16-08183190,2255 N MILWAUKEE AVE,2255,N,MILWAUKEE AVE,2255 N MILWAUKEE AVE,12/6/2016 0:00,12/15/2016 0:00,Completed,Ford,R715682,6866308,1157769.501,1914778.391,Carryall,12/3/2016,12/3/2016,-87.69573492,41.92190848,12/3/2016 3:18,2251,N,MILWAUKEE,MILWAUKEE AVE,2251 N MILWAUKEE,IL,964060,3-7 AM SNOW ROUTE,14,FORD,60,Paid,2016,TRUE,12/3/2016 3:18,TICKET AND TOW
1501,16-08183192,2475 N MILWAUKEE AVE,2475,N,MILWAUKEE AVE,2475 N MILWAUKEE AVE,12/6/2016 0:00,12/15/2016 0:00,Completed,Dodge,VKY349,6866310,1155804.159,1916370.225,Pickup,12/3/2016,12/3/2016,-87.70291315,41.92631647,12/3/2016 3:27,2500,N,MILWAUKEE,MILWAUKEE AVE,2500 N MILWAUKEE,IN,964060,3-7 AM SNOW ROUTE,14,DODG,60,Notice,2016,TRUE,12/3/2016 3:27,TICKET AND TOW
1502,16-08183193,2548 N MILWAUKEE AVE,2548,N,MILWAUKEE AVE,2548 N MILWAUKEE AVE,12/6/2016 0:00,12/15/2016 0:00,Completed,Nissan,Q834071,6866311,1155203.988,1916856.296,Sedan 4 Door,12/3/2016,12/3/2016,-87.70510542,41.92766237,12/3/2016 3:36,2548,N,MILWAUKEE,MILWAUKEE AVE,2548 N MILWAUKEE,IL,964060,3-7 AM SNOW ROUTE,14,NISS,60,Paid,2016,TRUE,12/3/2016 3:36,TICKET AND TOW
1503,16-08182990,1339 W MADISON ST,1339,W,MADISON ST,1339 W MADISON ST,12/6/2016 0:00,12/15/2016 0:00,Completed,Lexus,R158794,6866320,1167297.554,1900143.938,Carryall,12/3/2016,12/3/2016,-87.66114762,41.88155084,12/3/2016 4:21,1339,W,MADISON,MADISON ST,1339 W MADISON,IL,964060,3-7 AM SNOW ROUTE,495,LEXU,60,Paid,2016,TRUE,12/3/2016 4:21,TICKET AND TOW
1504,16-08182991,1009 W MADISON ST,1009,W,MADISON ST,1009 W MADISON ST,12/6/2016 0:00,12/15/2016 0:00,Completed,Nissan,AVD5081,6866321,1169684.609,1900214.89,Sedan 4 Door,12/3/2016,12/3/2016,-87.65238042,41.8816939,12/3/2016 4:26,1009,W,MADISON,MADISON ST,1009 W MADISON,IL,964060,3-7 AM SNOW ROUTE,495,NISS,60,Define,2016,TRUE,12/3/2016 4:26,TICKET AND TOW
1505,16-08182993,2831 N MILWAUKEE AVE,2831,N,MILWAUKEE AVE,2831 N MILWAUKEE AVE,12/6/2016 0:00,12/15/2016 0:00,Completed,Toyota,S795696,6866323,1152960.868,1918663.088,Sedan 4 Door,12/3/2016,12/3/2016,-87.71330004,41.93266516,12/3/2016 3:44,2833,N,MILWAUKEE,MILWAUKEE AVE,2833 N MILWAUKEE,IL,964060,3-7 AM SNOW ROUTE,14,TOYT,60,Paid,2016,TRUE,12/3/2016 3:44,TICKET AND TOW
1506,16-08182999,6955 N CLARK ST,6955,N,CLARK ST,6955 N CLARK ST,12/6/2016 0:00,12/15/2016 0:00,Completed,Nissan,82336FF,6866328,1163512.665,1946215.273,Pickup,12/3/2016,12/3/2016,-87.67374376,42.00805353,12/3/2016 3:29,6955,N,CLARK,CLARK ST,6955 N CLARK,IL,964060,3-7 AM SNOW ROUTE,24,NISS,60,Notice,2016,TRUE,12/3/2016 3:29,TICKET AND TOW
1507,16-08184342,3052 N MILWAUKEE AVE,3052,N,MILWAUKEE AVE,3052 N MILWAUKEE AVE,12/6/2016 0:00,12/15/2016 0:00,Completed,Nissan,Q976745,6866332,1151219.86,1920064.23,Sedan 4 Door,12/3/2016,12/3/2016,-87.71966125,41.93654438,12/3/2016 4:55,3052,N,MILWAUKEE,MILWAUKEE AVE,3052 N MILWAUKEE,IL,964060,3-7 AM SNOW ROUTE,495,NISS,60,Notice,2016,TRUE,12/3/2016 4:55,TICKET AND TOW
1508,16-08183007,3201 N MILWAUKEE AVE,3201,N,MILWAUKEE AVE,3201 N MILWAUKEE AVE,12/6/2016 0:00,12/15/2016 0:00,Completed,Hyundai,V378175,6866336,1150046.704,1921005.623,Sedan 4 Door,12/3/2016,12/3/2016,-87.72394817,41.9391506,12/3/2016 5:05,3201,N,MILWAUKEE,MILWAUKEE AVE,3201 N MILWAUKEE,IL,964060,3-7 AM SNOW ROUTE,495,HYUN,60,Notice,2016,TRUE,12/3/2016 5:05,TICKET AND TOW
1509,16-08183008,1002 W MADISON ST,1002,W,MADISON ST,1002 W MADISON ST,12/6/2016 0:00,12/15/2016 0:00,Completed,Mercury,Z746819,6866337,1169758.509,1900217.19,Carryall,12/3/2016,12/3/2016,-87.652109,41.8816986,12/3/2016 4:58,1002,W,MADISON,MADISON ST,1002 W MADISON,IL,964060,3-7 AM SNOW ROUTE,495,MERZ,60,Paid,2016,TRUE,12/3/2016 4:58,TICKET AND TOW
1510,16-08183012,6957 N CLARK ST,6957,N,CLARK ST,6957 N CLARK ST,12/6/2016 0:00,12/15/2016 0:00,Completed,Ford,P908608,6866341,1163509.865,1946230.773,Sedan 4 Door,12/3/2016,12/3/2016,-87.67375362,42.00809612,12/3/2016 3:31,6955,N,CLARK,CLARK ST,6955 N CLARK,IL,964060,3-7 AM SNOW ROUTE,24,FORD,60,Paid,2016,TRUE,12/3/2016 3:31,TICKET AND TOW
1511,16-08183013,7064 N CLARK ST,7064,N,CLARK ST,7064 N CLARK ST,12/6/2016 0:00,12/15/2016 0:00,Completed,Ford,93698FF,6866342,1163350.65,1947166.646,Pickup,12/3/2016,12/3/2016,-87.6743129,42.01066754,12/3/2016 3:52,7064,N,CLARK,CLARK ST,7064 N CLARK,IL,964060,3-7 AM SNOW ROUTE,24,FORD,60,Notice,2016,TRUE,12/3/2016 3:52,TICKET AND TOW
1512,16-08183020,7015 N CLARK ST,7015,N,CLARK ST,7015 N CLARK ST,12/6/2016 0:00,12/15/2016 0:00,Completed,Toyota,Q763873,6866348,1163422.229,1946717.903,Carryall,12/3/2016,12/3/2016,-87.67406225,42.00943467,12/3/2016 3:40,7015,N,CLARK,CLARK ST,7015 N CLARK,IL,964060,3-7 AM SNOW ROUTE,24,TOYT,60,Paid,2016,TRUE,12/3/2016 3:40,TICKET AND TOW
1513,16-08183023,7220 N CLARK ST,7220,N,CLARK ST,7220 N CLARK ST,12/6/2016 0:00,12/15/2016 0:00,Completed,Toyota,Q263654,6866349,1163245.896,1947965.533,Sedan 4 Door,12/3/2016,12/3/2016,-87.67467572,42.01286192,12/3/2016 3:57,7208,N,CLARK,CLARK ST,7208 N CLARK,IL,964060,3-7 AM SNOW ROUTE,24,TOYT,60,Paid,2016,TRUE,12/3/2016 3:57,TICKET AND TOW
1514,16-08183026,500 W DIVISION ST,500,W,DIVISION ST,500 W DIVISION ST,12/6/2016 0:00,12/15/2016 0:00,Completed,Nissan,P125794,6866350,1172672.288,1908275.929,Sedan 4 Door,12/3/2016,12/3/2016,-87.64117106,41.90374829,12/3/2016 5:22,500,W,DIVISION,DIVISION ST,500 W DIVISION,IL,964060,3-7 AM SNOW ROUTE,495,NISS,60,Notice,2016,TRUE,12/3/2016 5:22,TICKET AND TOW
1515,16-08183028,625 W DIVISION ST,625,W,DIVISION ST,625 W DIVISION ST,12/6/2016 0:00,12/15/2016 0:00,Completed,Nissan,Y955295,6866351,1171853.6,1908251.877,Sedan 4 Door,12/3/2016,12/3/2016,-87.64417897,41.90370038,12/3/2016 5:25,625,W,DIVISION,DIVISION ST,625 W DIVISION,IL,964060,3-7 AM SNOW ROUTE,495,NISS,60,Notice,2016,TRUE,12/3/2016 5:25,TICKET AND TOW
1516,16-08183030,3594 N MILWAUKEE AVE,3594,N,MILWAUKEE AVE,3594 N MILWAUKEE AVE,12/6/2016 0:00,12/15/2016 0:00,Completed,Audi,P677837,6866352,1146902.054,1923535.864,Sedan 4 Door,12/3/2016,12/3/2016,-87.73544084,41.94615456,12/3/2016 5:25,3584,N,MILWAUKEE,MILWAUKEE AVE,3584 N MILWAUKEE,IL,964060,3-7 AM SNOW ROUTE,495,AUDI,60,Notice,2016,TRUE,12/3/2016 5:25,TICKET AND TOW
1517,16-08183035,4007 N MILWAUKEE AVE,4007,N,MILWAUKEE AVE,4007 N MILWAUKEE AVE,12/6/2016 0:00,12/15/2016 0:00,Completed,Acura,E339081,6866355,1143595.325,1926209.627,Sedan 4 Door,12/3/2016,12/3/2016,-87.74752825,41.95355426,12/3/2016 5:29,4007,N,MILWAUKEE,MILWAUKEE AVE,4007 N MILWAUKEE,IL,964060,3-7 AM SNOW ROUTE,495,ACUR,60,Paid,2016,TRUE,12/3/2016 5:29,TICKET AND TOW
1518,16-08183036,7225 N CLARK ST,7225,N,CLARK ST,7225 N CLARK ST,12/6/2016 0:00,12/15/2016 0:00,Completed,Chevrolet,Q812307,6866356,1163243.196,1947986.133,Sedan 4 Door,12/3/2016,12/3/2016,-87.67468507,42.0129185,12/3/2016 3:58,7221,N,CLARK,CLARK ST,7221 N CLARK,IL,964060,3-7 AM SNOW ROUTE,24,CHEV,60,Notice,2016,TRUE,12/3/2016 3:58,TICKET AND TOW
1519,16-08183037,7362 N CLARK ST,7362,N,CLARK ST,7362 N CLARK ST,12/6/2016 0:00,12/15/2016 0:00,Completed,Honda,Q205441,6866357,1163135.666,1948796.12,Sedan 4 Door,12/3/2016,12/3/2016,-87.67505781,42.01514339,12/3/2016 4:03,7362,N,CLARK,CLARK ST,7362 N CLARK,IL,964060,3-7 AM SNOW ROUTE,24,HOND,60,Notice,2016,TRUE,12/3/2016 4:03,TICKET AND TOW
1520,16-08183040,665 W DIVISION ST,665,W,DIVISION ST,665 W DIVISION ST,12/6/2016 0:00,12/15/2016 0:00,Completed,Chevrolet,DEB1645,6866359,1171559.329,1908243.143,Sedan 4 Door,12/3/2016,12/3/2016,-87.64526015,41.90368289,12/3/2016 5:30,665,W,DIVISION,DIVISION ST,665 W DIVISION,IL,964060,3-7 AM SNOW ROUTE,495,CHEV,60,Paid,2016,TRUE,12/3/2016 5:30,TICKET AND TOW
1521,16-08183041,7364 N CLARK ST,7364,N,CLARK ST,7364 N CLARK ST,12/6/2016 0:00,12/15/2016 0:00,Completed,Honda,Z592888,6866360,1163133.666,1948811.02,Van,12/3/2016,12/3/2016,-87.67506474,42.01518432,12/3/2016 4:10,7364,N,CLARK,CLARK ST,7364 N CLARK,IL,964060,3-7 AM SNOW ROUTE,24,HOND,60,Paid,2016,TRUE,12/3/2016 4:10,TICKET AND TOW
1522,16-08183047,936 W MADISON ST,936,W,MADISON ST,936 W MADISON ST,12/6/2016 0:00,12/15/2016 0:00,Completed,Lexus,R454071,6866365,1170077.635,1900226.04,Carryall,12/3/2016,12/3/2016,-87.65093693,41.88171593,12/3/2016 0:00,936,W,MADISON,MADISON ST,936 W MADISON,IL,964060,3-7 AM SNOW ROUTE,495,LEXU,60,Court,2016,TRUE,12/3/2016 0:00,TICKET AND TOW
1523,16-08183049,2180 W DIVISION ST,2180,W,DIVISION ST,2180 W DIVISION ST,12/6/2016 0:00,12/15/2016 0:00,Completed,Honda,Q675738,6866367,1161648.816,1907958.562,Carryall,12/3/2016,12/3/2016,-87.68167162,41.90311434,12/3/2016 5:40,2160,W,DIVISION,DIVISION ST,2160 W DIVISION,IL,964060,3-7 AM SNOW ROUTE,495,HOND,60,Paid,2016,TRUE,12/3/2016 5:40,TICKET AND TOW
1524,16-08183050,1500 W DIVISION ST,1500,W,DIVISION ST,1500 W DIVISION ST,12/6/2016 0:00,12/15/2016 0:00,Completed,Pontiac,H784487,6866368,1166174.32,1908087.379,Sedan 2 Door,12/3/2016,12/3/2016,-87.6650449,41.90337229,12/3/2016 5:45,2280,W,DIVISION,DIVISION ST,2280 W DIVISION,IL,964060,3-7 AM SNOW ROUTE,495,PONT,60,Notice,2016,TRUE,12/3/2016 5:45,TICKET AND TOW
1525,16-08183051,637 W DIVISION ST,637,W,DIVISION ST,637 W DIVISION ST,12/6/2016 0:00,12/15/2016 0:00,Completed,Ford,UJ4N7L,6866369,1171727.9,1908248.077,Carryall,12/3/2016,12/3/2016,-87.64464081,41.90369272,12/3/2016 5:29,637,W,MADISON,MADISON ST,637 W MADISON,MO,964060,3-7 AM SNOW ROUTE,495,FORD,60,Paid,2016,TRUE,12/3/2016 5:29,TICKET AND TOW
1526,16-08183052,1434 W DIVISION ST,1434,W,DIVISION ST,1434 W DIVISION ST,12/6/2016 0:00,12/15/2016 0:00,Completed,Nissan,Z968648,6866370,1166499.997,1908095.612,Sedan 4 Door,12/3/2016,12/3/2016,-87.66384839,41.90338791,12/3/2016 5:30,1434,W,DIVISION,DIVISION ST,1434 W DIVISION,IL,964060,3-7 AM SNOW ROUTE,495,NISS,60,Notice,2016,TRUE,12/3/2016 5:30,TICKET AND TOW
1527,16-08183056,1444 W DIVISION ST,1444,W,DIVISION ST,1444 W DIVISION ST,12/6/2016 0:00,12/15/2016 0:00,Completed,Chevrolet,038ELM,6866373,1166449.897,1908094.312,Sedan 4 Door,12/3/2016,12/3/2016,-87.66403245,41.90338542,12/3/2016 5:50,1444,W,DIVISION,DIVISION ST,1444 W DIVISION,MN,964060,3-7 AM SNOW ROUTE,495,CHEV,60,Define,2016,TRUE,12/3/2016 5:50,TICKET AND TOW
1528,16-08183058,2918 N MILWAUKEE AVE,2918,N,MILWAUKEE AVE,2918 N MILWAUKEE AVE,12/6/2016 0:00,12/15/2016 0:00,Completed,Ford,Q180799,6866375,1152218.848,1919260.167,Carryall,12/3/2016,12/3/2016,-87.7160111,41.93431829,12/3/2016 5:44,2918,N,MILWAUKEE,MILWAUKEE AVE,2918 N MILWAUKEE,IL,964060,3-7 AM SNOW ROUTE,14,FORD,60,Notice,2016,TRUE,12/3/2016 5:44,TICKET AND TOW
